UNIT,SUMMARY,STRENGTHS,WEAKNESSES,ERA,NATION,BUILDING,TYPE,STATS,BUILDING REQUIRED,ABILITIES,COST,POP COUNT
105mm_Howitzer,The 105mm Howitzer is a American World War I siege weapon  .,Good vs. buildings and infantry.,Weak vs. tanks and anti-tank units.,World War I,United States,Siege Factory,Siege weapon,"{'HP': '680', 'Attack': '135', 'Speed': '11', 'Range': '8'}",None,None,"{'Wood': '230', 'Gold': '270'}",2
12_Pounder,"The 12 Pounder is a Frankish siege weapon of the Imperial Age , available at the Siege Factory. It is upgraded from the Bombard for 80 Gold .",Good vs. buildings and gun infantry.,Weak vs. sword cavalry.,Imperial Age,Franks,Siege Factory,Siege Weapon,"{'HP': '950', 'Attack': '180', 'Gun': '8', 'Speed': '11', 'Range': '8'}",None,None,"{'Wood': '200', 'Gold': '250'}",2
37mm_AA_Gun,The 37mm AA Gun is a Russian World War I anti-air unit .,Good vs. Fighters and Bombers.,Weak vs. land units.,World War I,Russia,Siege Factory,Anti-Air,"{'HP': '560', 'Attack': '50', 'Area Effect': '17', 'Speed': '13', 'Range': '6'}",None,None,"{'Wood': '75', 'Gold': '75'}",1
37mm_Bofors_AA_Gun,The 37mm Bofors AA Gun is an anti-air unit of the United Kingdom .,Good vs. Fighters and Bombers.,Weak vs. land  units.,World War I,United Kingdom,Siege Factory,Anti-Air,"{'HP': '750', 'Attack': '65', 'Speed': '13', 'Range': '7'}",None,None,"{'Wood': '95', 'Gold': '75'}",1
77mm_AA_Gun,The 77mm AA Gun is a French World War I anti-air unit .,Good vs. Fighters and Bombers.,Weak vs. land units.,World War I,France,Siege Factory,Anti-air,"{'HP': '625', 'Attack': '70', 'Speed': '13', 'Range': '6'}",None,None,"{'Wood': '95', 'Gold': '75'}",1
88mm_AT_Gun_(Germany),"Originally designed as an anti-air gun, the versatile 88 mm gun also saw use as a field weapon. Amazingly, it was also the best anti-tank gun of any army during World War II, able to punch through the thickest armour.[1]",Good vs. tanks and aircraft.,Weak vs. gun infantry.,World War II,Germany,Siege Factory,Anti-Tank/Anti-Air,"{'HP': '940', 'Range': '6'}",None,"['Switch', 'between', 'modes']","{'Wood': '90', 'Gold': '70'}",1
88mm_AT_Gun_(United_States),The 88mm AT Gun is a American World War II anti-tank unit . It is upgraded from the Anti-Tank 75mm Gun for 55 Gold .,Good vs. Tanks.,Weak vs. gun infantry.,World War II,United States,Siege Factory,Anti-Tank,"{'HP': '900', 'Attack': '54', 'Gun': '4', 'Speed': '13', 'Range': '6'}",None,None,"{'Wood': '100', 'Gold': '80'}",1
90mm_AA_Gun,The 90mm AA Gun is a Russian World War II anti-air unit . It is upgraded from the 37mm AA Gun for 40 Gold .,Good vs. Fighters and Bombers.,Weak vs. land units.,World War II,Russia,Siege Factory,Anti-Air,"{'HP': '675', 'Attack': '65', 'Area Effect': '17', 'Speed': '13', 'Range': '6'}",None,None,"{'Wood': '75', 'Gold': '75'}",1
A7V_Tank,"In response to the success of British tanks in 1916, the German War Ministry issued a secret contract to the VPK to develop the A7V Sturmpanzerwagen. In Empires, the A7V Sturmpanzerwagen acts as Germany's only battle tank in World War I.[1]",Good vs. infantry.,Weak vs. anti-tank units.,World War I,Germany,Siege Factory,Tank,"{'HP': '2,500', 'Attack': '120', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '190', 'Gold': '225'}",3
Ambulance,"The most common Allied WWI Ambulance was a modified Ford Model T, because of its lightweight and strong reliability. WWI was finally a war where medicine caught up close to war. In all previous wars, it was usually wounds or disease that killed more people than actual fatal bullets.[1]",Can heal hit points and restore power to surrounding units.,Cannot attack.,World War I,United States,Tank Factory,Support vehicle,"{'HP': '500', 'Speed': '14'}",Armory,"['HealsRestores', 'power']","{'Food': '110', 'Gold': '140'}",2
American,"The American is the American Citizen unit , used to gather resources and to construct and repair buildings. They are created at the Town Center.","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,World War I,United States,Town Center,Citizen,"{'HP': '560', 'Attack': '9', 'Speed': '11', 'Range': '2'}",None,None,{'Food': '50'},1
Amphibious_Tank,Amphibious tanks were conceived to ford rivers where bridges were unavailable.[2],Good vs. infantry.,Weak vs. anti-tank units.,World War II,United Kingdom,Tank Factory,Tank,"{'HP': '1,500', 'Attack': '80', 'Speed': '15', 'Power': '100', 'Range': '5'}",Armory,"['AmphibiousWhite', 'Phosphorus']","{'Food': '125', 'Gold': '155'}",2
Anatra-DS_Fighter,The Anatra-DS Fighter is a Russian World War I fighter plane .,Good vs. Bombers and land units.,Weak vs. anti-air units.,World War I,Russia,Airport,Fighter,"{'HP': '625', 'Attack': '16', 'Speed': '24', 'Flight time': '125', 'Range': '7'}",None,"['Detects', 'stealthy', 'units']","{'Wood': '120', 'Gold': '160'}",1
Anti-Tank_38mm_Gun_(Russia),The Anti-Tank 38mm Gun is a Russian anti-tank unit .,Good vs. Tanks.,Weak vs. gun infantry.,World War I,Russia,Siege Factory,Anti-Tank,"{'HP': '655', 'Attack': '35', 'Gun': '3', 'Speed': '13', 'Range': '5'}",None,None,"{'Wood': '75', 'Gold': '65'}",1
Anti-Tank_38mm_Gun_(United_Kingdom),The Anti-Tank 38mm Gun is an anti-tank unit of the United Kingdom .,Good vs. Tanks.,Weak vs. gun infantry.,World War I,United Kingdom,Siege Factory,Anti-Tank,"{'HP': '1,000', 'Attack': '45', 'Gun': '3', 'Speed': '13', 'Range': '5'}",None,None,"{'Wood': '110', 'Gold': '90'}",1
Anti-Tank_75mm_Gun,The Anti-Tank 75mm Gun is a French and American World War I anti-tank unit .,Good vs. tanks.,Weak vs. gun infantry.,World War I,France,Siege Factory,Anti-tank,"{'HP': '810', 'Attack': '40', 'Gun': '3', 'Speed': '13', 'Range': '6'}",None,None,"{'Wood': '100', 'Gold': '80'}",1
Anti-Tank_75mm_Gun,The Anti-Tank 75mm Gun is a French and American World War I anti-tank unit .,Good vs. tanks.,Weak vs. gun infantry.,World War I,United States,Siege Factory,Anti-tank,"{'HP': '750', 'Attack': '45', 'Gun': '3', 'Speed': '13', 'Range': '5'}",None,None,"{'Wood': '100', 'Gold': '80'}",1
APC,"The APC, short for Armored Personnal Carrier, was used to keep the infantry from becoming fatigued or getting ambushed while travelling in hostile lands. It was especially important in WWII for the infantry to be able to keep up with the tanks. Today's modern APC was mostly the creation of a Canadian general named Guy Simonds.[1]",Good vs. infantry.,Weak vs. Tanks and anti-tank units.,World War I,United Kingdom,Siege Factory,Transport,"{'HP': '1,100', 'Attack': '45', 'Transport capacity': '8', 'Speed': '20', 'Range': '5'}",Armory,"['Transports', 'units']","{'Food': '90', 'Gold': '110'}",2
Archer_(Empires),The Archer is the Frankish foot archer . It is trained at the Barracks in the Medieval Age.,Good vs. spear units and cavalry archers.,Weak vs. sword units.,Medieval Age,Franks,Barracks,Foot archer,"{'HP': '345', 'Attack': '10', 'Pierce': '3', 'Speed': '12', 'Range': '5'}",None,None,"{'Wood': '45', 'Gold': '55'}",1
Arkhangelsk_Battleship,"The USSR Arkhangelsk, as it was later christened, played a small role in Soviet Navy, however, weighing 27,500 tons and armed with eight 15-inch turrets, the Arkhangelsk was certainly not a force to be trifled with.[1]","Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. Submarines and siege weapons.,World War II,Russia,Dock,Battleship,"{'HP': '5,185', 'Attack': '215', 'Area Effect': '10', 'Speed': '13', 'Range': '7'}",None,None,"{'Wood': '170', 'Gold': '200'}",2
Armored_Car,"Russia ordered a few dozen armored cars from the British Austin Motor Company in 1914 and more in subsequent years. The cars were found to be vulnerable and were given thicker armor at the Putilovski factory in Russia. None of the improved vehicles were ready before Russia withdrew from WWI. After the 1917 Revolutions, however, completed cars fell.[1]",Good vs. infantry.,weak vs. anti-tank units.,World War I,Russia,Tank Factory,Tank,"{'HP': '1,150', 'Attack': '40', 'Gun': '3', 'Speed': '17', 'Range': '5'}",None,None,"{'Food': '90', 'Gold': '110'}",2
Arquebusier_(Empires),The Arquebusier is an English gun infantry unit . ,Good vs. gun cavalry and sword infantry.,Weak vs. sword cavalry and field weapons.,Gunpowder Age,England,Barracks,Gun Infantry,"{'HP': '470', 'Attack': '19', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '65', 'Gold': '55'}",1
Artillerie,"The Artillerie is a French World War I field weapon . It can fire a smokescreen shell that temporarily lowers the Line of Sight and range of enemies within the smokescreen (100 power, hotkey S).",Good vs. buildings and infantry.,Weak vs. tanks and anti-tank units.,World War I,France,Siege Factory,Field weapon,"{'HP': '850', 'Attack': '150', 'Speed': '9', 'Power': '100', 'Range': '10'}",None,None,"{'Wood': '220', 'Gold': '280'}",2
B-17_Flying_Fortress,"And like its historical counterpart, the Flying Fortress is best used en masse. Where one B-17 will annoy an enemy, a fleet of a six or twelve will ruthlessly destroy most attacking armies or forward cities. Launched from safe havens well back from the front lines, the mighty Boeing might not win the war single-handed, but it will move the American war effort much closer to victory. It's offensive power and defensive durability make the B-17 much more than just another air unit. Properly used, it should be a mainstay of the US war machine.[1]",Good vs. land units.,Weak vs. anti-air units and Fighters.,World War II,United States,Siege Factory,Bomber,"{'HP': '1,125', 'Attack': '165', 'Area Effect': '14', 'Speed': '22', 'Flight time': '120'}",None,"['Multiple', 'bombing', 'passesDetects', 'stealthy', 'units']","{'Wood': '240', 'Gold': '320'}",1
B-29_Superfortress,"`Not surprisingly, the successful American player in Empires will be the one who knows when to commit the Superfortress and its atomic payload, and when to hold off and pound the enemy with more conventional attacks, like those from the B-29's smaller sibling, the B-17 ""Flying Fortress."" Once the target city is sufficiently prepared-and its air defenses seriously weakened or destroyed-the B-29 can then be the true war-winning weapon it was in history. From its glistening silver fuselage to the awesome power of its atomic payload, the Superfortress stands as the very symbol of American power as the United States takes its place as a superpower on the world's stage.[1]",Good vs. all land and sea units. Drops an atomic bomb that devastates a large area.,Expensive. Weak vs. anti-air units and Fighters.,World War II,United States,Airport,Atomic bomber,"{'HP': '1,000', 'Attack': '20,000', 'Area Effect': '35', 'Speed': '22', 'Flight time': '120'}",Armory,None,"{'Wood': '1,000', 'Gold': '1,000'}",1
B1-bis_Tank,"Its Bulldoze ability can inflict heavy damage on an adjacent unit by running over it (100 power, hotkey B).",Good vs. infantry.,Weak vs. anti-tank units.,World War II,France,Tank Factory,Tank,"{'HP': '2,200', 'Attack': '95', 'Gun': '3', 'Speed': '14', 'Power': '100', 'Range': '5'}",None,None,"{'Food': '160', 'Gold': '220'}",2
Ballista_(Empires),"The Ballista is the Frankish Field Weapon of the Medieval Age , available at the Siege Factory.",Good vs. foot archers and buildings.,Weak vs. sword cavalry and spear cavalry.,Medieval Age,Franks,Siege Factory,Field Weapon,"{'HP': '400', 'Attack': '75', 'Area Effect': '10', 'Speed': '10', 'Range': '7'}",None,None,"{'Wood': '160', 'Gold': '190'}",2
Barge,"The Barge is the naval support unit of the English , available from the Gunpowder Age onwards. It passively repairs nearby friendly ships, and is able to fire a chain shot to immobilize enemy ships as its special action (50 power, hotkey C).",Can repair friendly ships and fire chain shots to immobilize enemy ships.,Weak vs. Battleships.,Gunpowder Age,England,Dock,Support Unit,"{'HP': '1,000', 'Speed': '13', 'Power': '100'}",None,"['Chain', 'Shot']","{'Wood': '90', 'Gold': '80'}",2
Berserk,The Berserk is the Frankish Heavy Infantry of the Medieval Age . It can be trained from the Barracks. It throws axes that will damage units behind the initial target.,Good vs. melee units.,Weak vs. archers.,Medieval Age,Franks,Barracks,Heavy Infantry,"{'HP': '280', 'Attack': '50', 'Speed': '14', 'Range': '2'}",Armory,None,"{'Wood': '70', 'Gold': '55'}",1
Big_Bertha_Artillery,"The Big Bertha was the most powerful artillery piece in the world in 1914, able to fire one-ton shells over nine miles. It was named after the wife of the manufacturer’s owner.[1]",Good against buildings and infantry.,Weak vs. tanks.,World War I,Germany,Siege Factory,Field weapon,"{'HP': '750', 'Attack': '200', 'Area Effect': '16', 'Speed': '9', 'Power': '100', 'Range': '11'}",None,"['Deadly', 'Cloud']","{'Wood': '250', 'Gold': '350'}",2
Bismarck,"The Germans sent the 51,000-ton Bismarck to harass Allied shipping in 1941. The British quickly organized a large naval task force to intercept the mighty battleship. On May 27, battered and unable to return fire, Bismarck capsized 600 miles off the coast of France.[1]","Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. submarines and siege weapons.,World War II,Germany,Dock,Battleship,"{'HP': '8,080', 'Attack': '305', 'Area Effect': '10', 'Speed': '13', 'Range': '7'}",None,None,"{'Wood': '285', 'Gold': '315'}",2
BL_6_in._Howitzer,The BL 6 in. Howitzer is a siege weapon of the United Kingdom .,Buildings and infantry.,Tanks and anti-tank units.,World War I,United Kingdom,Siege Factory,Siege Weapon,"{'HP': '600', 'Attack': '115', 'Speed': '11', 'Range': '8'}",None,None,"{'Wood': '200', 'Gold': '235'}",2
Bomb_Slinger,"A sophisticated variant of early gunpowder weapons was a bomb with a timed fuse. In addition to mortars, cheaper slings were employed so men could throw bombs a good distance by hand.[1]",Good vs. buildings and groups of enemies.,Weak vs. single units.,Gunpowder Age,Korea,Barracks,Field Weapon,"{'HP': '300', 'Attack': '150', 'Area Effect': '10', 'Speed': '13', 'Power': '100', 'Range': '5'}",Armory,None,"{'Food': '135', 'Gold': '115'}",1
Bombard_(Empires),"The Bombard is a Frankish siege weapon of the Gunpowder Age , available at the Siege Factory.",Good vs. buildings and gun infantry.,Weak vs. sword cavalry.,Gunpowder Age,Franks,Siege Factory,Siege Weapon,"{'HP': '800', 'Attack': '150', 'Gun': '11', 'Speed': '11', 'Range': '8'}",None,None,"{'Wood': '200', 'Gold': '250'}",2
C-47_Dakota,A number of C-47s were sent from the US to the UK during WWII to act as air transports and paratroop planes. Dakotas dropped troops before dawn on D-Day.[1],None,None,World War II,United Kingdom,Airport,Support,"{'HP': '1,190', 'Speed': '22', 'Flight time': '100'}",Armory,"['Drops', 'infantry']","{'Wood': '355', 'Gold': '475'}",8
C-47_Skytrain,"Bridging the often-vast distance between factory and battlefield, the C-47 gives the American player a versatile and dramatic way to take the fight to the enemy. Disregarding terrain and obstacles, the mighty Dakota carries the fight to the enemy, dropping a powerful military force where and when the American player desires, and with no way for the enemy to counter the attack. Once on the ground these forces have to fend for themselves, but their appearance where least expected is sure to discomfort even the most prepared foe. That's to be expected from a plane with as storied a history as the C-47, though. From North Africa to Normandy to Holland and into Germany, such heroic transport missions were the Dakota's bread and butter. In Empires, it continues this historic task.[1]",None,None,World War II,United States,Airport,Transport aircraft,"{'HP': '1,190', 'Transport capacity': '15', 'Speed': '22', 'Flight time': '100'}",Armory,None,"{'Wood': '275', 'Gold': '365'}",8
Caproni_Bomber,"In an era when airpower is still in its formative period, and defenses are not yet fully developed, the Caproni offers the Americans a chance to break the deadlock of grinding ground offensives. Striking deep into enemy territory, more than a match for the primitive fighter planes of the era, these Italian stallions in American service show their thoroughbred lineage. Used in quantity, relying on their ability to absorb punishment and hit targets again and again, the Ca.36 should be a familiar sight in the skies above American territory-and the territory of the United States' enemies.[1]",Strong vs.land units.,Weak vs. anti-air units and Fighters.,World War I,United States,Airport,Bomber,"{'HP': '810', 'Attack': '135', 'Area Effect': '12', 'Speed': '22', 'Flight time': '100'}",None,"['Can', 'make', 'multiple', 'bombing', 'passesDetects', 'stealthy', 'units']","{'Wood': '240', 'Gold': '320'}",1
Carabineer_(Empires),The Carabineer is a Frankish gun cavalry unit .,Good vs. sword cavalry and spear infantry.,Weak vs. gun infantry.,Gunpowder Age,Franks,Stable,Gun Cavalry,"{'HP': '690', 'Attack': '32', 'Shock': '5', 'Speed': '18', 'Range': '4'}",None,None,"{'Food': '85', 'Gold': '105'}",2
Cardinal,"Perhaps the best known French Cardinal is Cardinal Richelieu, who became France's Prime Minister under King Louis XIII in 1624. He is generally credited with helping to re-establish France as a strong European power in the 17th Century.[1]","Can see stealthy enemies, destroy buildings, and infect units.",No attack. Countered by any unit.,Medieval Age,Franks,Church,Priest,"{'HP': '375', 'Speed': '11', 'Power': '200', 'Range': '6'}",None,['EarthquakePlague'],"{'Food': '135', 'Gold': '165'}",2
Cavalier,"The Cavalier is the English sword cavalry of the Gunpowder Age , trained from the Stable.",Strong vs. gun infantry and foot archers.,Weak vs. gun cavalry and spear infantry.,Gunpowder Age,England,Stable,Sword Cavalry,"{'HP': '1,010', 'Attack': '30', 'Arrow': '1', 'Gun': '5', 'Speed': '18'}",None,None,"{'Food': '85', 'Gold': '105'}",2
Ch%27ing_Musketeer,"The Ch'ing Musketeer is the Chinese gun infantry unit of the Imperial Age . It is upgraded from the Flintlock Infantry for 20 Gold , and can be trained at the War Camp.","Good vs. gun cavalry, spear infantry, and sword infantry.",weak vs. sword cavalry and field weapons.,Imperial Age,China,War Camp,Gun infantry,"{'HP': '260', 'Attack': '13', 'Speed': '13', 'Range': '4'}",None,None,"{'Food': '35', 'Gold': '25'}",1
Chevalier,"The Chevalier is the Frankish spear cavalry of the Medieval Age , trained at the Stable. It can call a Noble Charge to temporarily increase the speed of nearby allied units (50 power, hotkey 50).",Good vs. sword units.,Weak vs. archers.,Medieval Age,Franks,Stable,Spear Cavalry,"{'HP': '875', 'Attack': '35', 'Shock': '4', 'Speed': '18', 'Power': '100'}",None,None,"{'Food': '110', 'Gold': '140'}",2
Choson_Battleship,"The Choson Battleship is the ultimate Korean battleship of the Imperial Age , available to upgrade from the Turtle Boat for 95 Gold . It can transport land units across water.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Imperial Age,Korea,Dock,Battleship,"{'HP': '6,160', 'Attack': '180', 'Transport capacity': '14', 'Speed': '11', 'Range': '6'}",None,None,"{'Wood': '270', 'Gold': '330'}",2
Choson_Flail_Cavalry,"The Choson Flail Cavalry is the Korean sword cavalry of the Gunpowder Age , available at the Stable. It is upgraded from the Mounted Flail for 75 Gold .",Good vs. gun infantry.,Weak vs. spear infantry and gun cavalry.,Medieval Age,Korea,Stable,Sword cavalry,"{'HP': '1,110', 'Attack': '37', 'Arrow': '1', 'Gun': '5', 'Speed': '18'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Choson_Musketeer,"Like other Korean infantry, it can use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. spear infantry and gun cavalry.,Weak vs. sword cavalry.,Imperial Age,Korea,Barracks,Gun infantry,"{'HP': '560', 'Attack': '31', 'Speed': '13', 'Power': '100', 'Range': '4'}",None,None,"{'Food': '90', 'Gold': '80'}",1
Choson_Sword_Cavalry,The Choson Sword Cavalry is a Korean sword cavalry unit . It is upgraded from the Choson Flail Cavalry for 75 Gold .,Good vs. gun infantry.,Weak vs. spear infantry and gun cavalry.,Imperial Age,Korea,Stable,Sword cavalry,"{'HP': '1,325', 'Attack': '44', 'Gun': '7', 'Speed': '18'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Choson_Trident,"Its attack can stun cavalry. Like other Korean infantry, it can also use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. sword units.,Weak vs. archers and gun infantry.,Gunpowder Age,Korea,Barracks,Spear infantry,"{'HP': '638', 'Attack': '28', 'Shock': '2', 'Speed': '13', 'Power': '100'}",None,None,"{'Food': '80', 'Gold': '40'}",1
Chu-ko-nu,"Known in Chinese as a Chu-Ko-Nu, this ""repeating crossbow"" held a magazine of bolts that could be fired in rapid succession.[1]",Good vs. groups of enemies.,Countered by any unit.,Medieval Age,China,War Camp,None,"{'HP': '250', 'Attack': '65', 'Speed': '12', 'Power': '100', 'Range': '6'}",Armory,None,"{'Wood': '120', 'Gold': '100'}",1
Cog_Warship,"The Cog Warship is the Frankish battleship of the Medieval Age , built at the Dock.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Medieval Age,Franks,Dock,Battleship,"{'HP': '1,875', 'Attack': '105', 'Area Effect': '10', 'Speed': '15', 'Range': '6'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Commando,The British army units originally used for small attacks on enemy beaches were called Commandos. These units were used all over the world during the war from Africa to France. Their secret and dangerous missions often were paramount to future operations.[1],"Good vs. Citizens. Stealthy, detects stealthy units, and can climb cliffs and traverse forests.",Weak vs. tanks.,World War I,United Kingdom,Barracks,Scout,"{'HP': '300', 'Attack': '50', 'Speed': '16', 'Power': '100'}",Armory,None,"{'Food': '80', 'Gold': '95'}",1
Commissar,Commissars were appointed to Red Army units to spread propaganda and ensure loyalty to the communist government.[1],"Can throw Molotov Cocktails, encourage allied units, and see stealthy units.",Weak on his own.,World War I,Russia,Barracks,Support infantry,"{'HP': '700', 'Attack': '20', 'Speed': '13', 'Power': '100', 'Range': '6'}",Armory,"['Molotov', 'CocktailEncouragement']","{'Food': '180', 'Gold': '180'}",1
Commoner,"Chinese Commoners can construct siege and field weapons: the Fork Cart in the Medieval and Gunpowder Age, the Siege Crossbow in the Gunpowder and Imperial Age, and the Barbarian Cannon in the Imperial Age. They can also forecast a Monsoon, which creates an area with heavy rain and wind that slows down enemy land and sea units, and damages air units. The player can control the Monsoon like a unit (75 power, hotkey M).","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,Medieval Age,China,Town Center,Citizen,"{'HP': '250', 'Speed': '11', 'Range': '2'}",None,None,{'Food': '(China)50'},1
Companion_Archer,"Some young Chinese men, not unlike knightly squires, were called upon to serve a man of higher rank. It became their sworn duty to protect their lords, even bearing a shield for them into battle.[1]",Good vs. archers.,Weak vs. melee units.,Medieval Age,China,War Camp,Foot Archer,"{'HP': '350', 'Attack': '40', 'Speed': '12', 'Range': '5'}",Armory,None,"{'Wood': '110', 'Gold': '90'}",1
Comrade,"The Comrade can turn into a Revolutionary for 175 Wood . Revolutionaries can self-detonate, causing widespread damage.","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,World War I,Russia,Town Center,Citizen,"{'HP': '400', 'Attack': '7', 'Speed': '11', 'Range': '2'}",None,['Revolutionary'],{'Food': '40'},1
Conscript,"In the Soviet Union, military service was compulsory for all males once they turned 18. These conscripts were usually poorly trained, inexperienced youths, who fought to their deaths for the Motherland. In Empires, Conscripts remain true to their real life counterparts. Armed only with their fallen comrade's rifle, these weak infantry troops can be produced in great numbers relatively cheaply.[1]",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War I,Russia,Town Center,Gun Infantry,"{'HP': '310', 'Attack': '18', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '35', 'Gold': '25'}",1
Cossack,"The Cossacks settled southern Ukraine in the 15th Century, trading military service in return for political autonomy. They were reactivated to fight in both world wars.[1]",Good vs. gun infantry and Citizens.,Weak vs. tanks and anti-tank units.,World War I,Russia,Barracks,Scout,"{'HP': '725', 'Attack': '86', 'Gun': '4', 'Speed': '18', 'Power': '100'}",Armory,['Charge'],"{'Food': '80', 'Gold': '105'}",2
Courbet_Battleship,The Courbet Battleship is a French World War I battleship .,"Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. submarines and siege weapons.,World War I,France,Dock,Battleship,"{'HP': '3,240', 'Attack': '150', 'Area Effect': '10', 'Speed': '18', 'Range': '7'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Crossbowman_(Empires),"The Crossbowman is an English foot archer . The Flaming Bolt ability sets its target on fire, doing continual damage over time (75 power, hotkey F).",Good vs. melee units.,Weak vs. ranged units.,Medieval Age,England,Barracks,None,"{'HP': '280', 'Attack': '30', 'Speed': '16', 'Power': '150', 'Range': '4'}",None,None,"{'Wood': '135', 'Gold': '115'}",1
Crusader,"In 1095 Pope Urban II travelled to France, urging the Franks to launch holy war to retake the Holy Lands from the Muslims.[1]",Good vs. archers.,Weak vs. spear units.,Medieval Age,Franks,Stable,Sword Cavalry,"{'HP': '710', 'Attack': '50', 'Speed': '18', 'Power': '100'}",Armory,None,"{'Food': '110', 'Gold': '130'}",2
Crusader_II,The Crusader tank was the standard tank for British forces for much of World War II with over five thousand made. It eventually was retired after the Cromwell Tank was made. The early models were quickly outclassed by the Axis leading to the creation of the Crusader II.[1],Good vs. infantry.,Weak vs. anti-tank units.,World War II,United Kingdom,Tank Factory,Tank,"{'HP': '2,850', 'Attack': '132', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '170', 'Gold': '210'}",2
