UNIT,SUMMARY,STRENGTHS,WEAKNESSES,ERA,NATION,BUILDING,TYPE,STATS,BUILDING REQUIRED,ABILITIES,COST,POP COUNT
Cuirassier_(Empires),"The Cuirassier is the English gun cavalry of the Gunpowder Age , trained from the Stable.",Strong vs. sword cavalry.,Weak vs. gun infantry.,Gunpowder Age,England,Stable,Gun Cavalry,"{'HP': '625', 'Attack': '45', 'Shock': '5', 'Speed': '18', 'Range': '4'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Culverin_(Empires),"The Culverin is an English field weapon, available from the Gunpowder Age on . It is able to use the Bombardment ability, allowing it to fire over walls like a siege weapon.",Good vs. spear and gun infantry.,Weak vs. sword and spear cavalry.,Gunpowder Age,England,Siege Factory,Field Weapon,{},None,None,"{'Wood': '160', 'Gold': '190'}",2
D-2_Submarine,"The D-2 Submarine is a Russian submarine of World War I , available to be built from the Dock. It is stealthy and can detect other stealthy units.",Good vs. Battleships and Transports.,Weak vs. Fighters and towers.,World War I,Russia,Dock,Submarine,"{'HP': '1,620', 'Attack': '410', 'Speed': '14', 'Range': '7'}",None,None,"{'Wood': '145', 'Gold': '155'}",2
Dewoitine_Fighter,The Dewoitine Fighter is a French World War II fighter aircraft . It is upgraded from the Spad XIII Fighter for 95 Gold .,Good vs. Bombers and land units. Can detect stealthy units.,Weak vs. anti-air units.,World War II,France,Airport,Fighter,"{'HP': '500', 'Attack': '31', 'Speed': '24', 'Flight time': '150', 'Range': '8'}",None,None,"{'Wood': '130', 'Gold': '170'}",1
Dog,"The Dogs is a German World War I scout unit . It has a good Line of Sight, and can pass through forests.",Good Line of Sight.,Cannot attack.,World War I,Germany,Town Center,Scout,"{'HP': '180', 'Speed': '17'}",None,None,{'Food': '50'},None
Doughboy_(Empires),"The Doughboys have a long history. The Doughboys were the men America sent to France in the Great War, and fought to make the world safe for democracy. The expression doughboy, though, was in wide circulation a century before the First World War in both Britain and America, albeit with some very different meanings. Because of the occasional contact of the two nation's armed force and transatlantic migration, it seems likely that this usage was known to the members of the U.S. Army by the early 19th century. In the end, it was established that a ""doughboy"" was an American infantryman in World War 1.[1]",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War I,United States,Barracks,Gun infantry,"{'HP': '530', 'Attack': '24', 'Speed': '13', 'Power': '100', 'Range': '5'}",None,['Charge!'],"{'Food': '50', 'Gold': '40'}",1
Dragoon_(Empires),"The Dragoon is the English gun cavalry of the Imperial Age , trained from the Stable. It is upgraded from the Cuirassier for 75 Gold .",Strong vs. sword infantry.,Weak vs. gun infantry.,Imperial Age,England,Stable,Gun Cavalry,"{'HP': '750', 'Attack': '54', 'Shock': '8', 'Speed': '18', 'Range': '5'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Engineer_(Empires),"The Corps of Engineers was formed in 1802. In World War I, the first US troops in Europe were engineers. They helped construct rail lines, roads, bridges and other structure.[1]","Can repair mechanical ground units, capture enemy buildings, lay mine fields, and detect stealthy units.",Cannot attack.,World War I,United States,Barracks,Support infantry,"{'HP': '600', 'Speed': '12', 'Power': '100'}",Armory,"['RepairLay', 'Mine', 'FieldCapture', 'BuildingDetect', 'stealthy', 'units']","{'Food': '100', 'Gold': '80'}",1
Falcon,"The Falcon is the flying scout unit of the Koreans . It is available from the Medieval Age onward, and is trained at the Town Center.",Flying unit with god line of sight.,"Cannot attack.
Weak vs. archers and towers.",Medieval Age,Korea,Town Center,Scout,"{'HP': '60', 'Speed': '14'}",None,None,{'Food': '80'},1
Fire_Cart,"Late models of the fire cart were capable of firing 100 rocket arrows almost simultaneously, causing havoc among an enemy formation unlucky enough to be caught in the weapon’s fearsome hail of missiles.[1]",Good against archers.,Weak vs. sword and spear cavalry.,Medieval Age,Korea,Siege Factory,Field Weapon,"{'HP': '350', 'Attack': '50', 'Area Effect': '18', 'Speed': '10', 'Range': '7'}",Armory,None,"{'Wood': '135', 'Gold': '165'}",2
Fire_Galley,"Before the preeminence of cannon, one of the most effective ship-based weapons was Greek fire. This flammable liquid streamed from a nozzle mounted on a ship’s deck and burst into flame on enemy targets.[1]",Good vs. Fishing Boats and Transports.,Weak vs. Battleships and siege weapons.,Gunpowder Age,Franks,Dock,None,"{'HP': '2,000', 'Attack': '190', 'Speed': '13', 'Range': '2'}",None,None,"{'Wood': '100', 'Gold': '120'}",2
Fire_Oxen,"Introduced to Korea by China, fire oxen were live animals fitted with explosives. Troops stampeded the unfortunate creatures toward enemy lines, where they exploded in spectacular fashion.[1]","Good vs spear infantry, sword cavalry, and Citizens.",Weak vs. gun units.,Imperial Age,Korea,Siege Factory,Field weapon,"{'HP': '125', 'Attack': '50', 'Speed': '18'}",Armory,None,"{'Food': '90', 'Gold': '110'}",2
Fishing_Bateau_(France),"The Fishing Bateau is the French Fishing Ship , built at the Dock. It gathers fish and returns to the nearest Dock.",Can gather food.,Cannot attack.,World War I,France,Dock,Fishing Boat,"{'HP': '1,100', 'Speed': '18'}",None,None,{'Wood': '50'},1
Fishing_Bateau_(Franks),"The Fishing Bateau is the Frankish Fishing Ship , built at the Dock. It gathers fish and returns to the nearest Dock.",Can gather food.,Cannot attack.,Medieval Age,Franks,Dock,Fishing Ship,"{'HP': '750', 'Speed': '17'}",None,None,{'Wood': '50'},1
Fishing_Junk_(Empires),"The Fishing Bateau is the Frankish Fishing Ship , built at the Dock. It gathers fish and returns to the nearest Dock.",Can gather food.,Cannot attack.,Medieval Age,Franks,Dock,Fishing Ship,"{'HP': '750', 'Speed': '17'}",None,None,{'Wood': '50'},1
Flag_Spearman,"Its attack can stun cavalry. Like other Korean infantry, it can also use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. sword units.,Weak vs. gun units.,Imperial Age,Korea,Barracks,Spear infantry,"{'HP': '760', 'Attack': '33', 'Shock': '2', 'Speed': '13', 'Power': '100'}",None,None,"{'Food': '80', 'Gold': '40'}",1
Flamethrower_(Empires),The Flamethrower is a French World War I heavy infantry unit .,"Good vs. buildings, Citizens, and Scouts.",Weak vs. tanks and anti-tank units.,World War I,France,Barracks,Heavy infantry,"{'HP': '600', 'Attack': '50', 'Area Effect': '5', 'Speed': '16', 'Range': '2'}",Armory,None,"{'Food': '90', 'Gold': '50'}",1
Flintlock_Infantry,"The Chinese Flintlock Infantry were small infantry groups which had guns or pistols with a Flintlock. Flintlocks were a lock for a pistol that had a flint in the hammer for striking a spark to ignite the charge. A flint was massive hard quartz, which produced a spark when struck by steel. This fired the gun.[1]","Good vs. gun cavalry, spear infantry, and sword infantry.",Weak vs. sword cavalry and field weapons.,Gunpowder Age,China,War Camp,None,"{'HP': '210', 'Attack': '11', 'Gun': 'Flintlock', 'Speed': '13', 'Range': '4'}",None,None,"{'Food': '40', 'Gold': '20'}",1
Foochow_Battleship,The Foochow Battleship is the Chinese battleship of the Gunpowder Age . It is available to be upgraded from Flying Tiger Warship for 50 Gold  and can be built from the Dock.,Good vs. Fishing Boats and Transports.,Weak vs. other battleships and siege weapons.,Gunpowder Age,China,Dock,Battleship,"{'HP': '1,650', 'Attack': '81', 'Transport capacity': '14', 'Speed': '11', 'Range': '8'}",None,None,"{'Wood': '100', 'Gold': '120'}",2
Fork_Cart,"The Fork Cart is a Chinese Medieval Age siege weapon  that is built by Commoners. It is effective against buildings, walls, towers, and ships, but cannot attack land units.",Good vs. buildings.,Weak vs. land units.,Medieval Age,China,Dock,Siege weapon,"{'HP': '625', 'Attack': '130', 'Speed': '11'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Freedom_Fighter,The Freedom Fighter is a French scout unit of World War I '.,Good vs. infantry and Citizens.,Weak vs. Tanks and anti-tank units.,World War I,France,Tank Factory,Scout,"{'HP': '450', 'Attack': '60', 'Speed': '24', 'Range': '4'}",Armory,None,"{'Food': '95', 'Gold': '55'}",1
FT-17_Light_Tank,"The FT-17 Renault was a French tank made around 1917 as a light, cheap, and easy to produce tank. The tank quickly proved itself, used mostly as forerunner of the infantry. It was the first tank of it's kind, whose model would by used for all future tank including its 360 degree turret gun, the first for tanks. After the war, many countries including the US would import and create their own modified FT-17s.[1]",Good vs. infantry.,Weak vs. anti-tank units.,World War I,United States,Tank Factory,Tank,"{'HP': '2,300', 'Attack': '100', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '155', 'Gold': '195'}",2
Fusilier,The Fusilier is a Frankish gun infantry unit .,"Good vs. gun cavalry, spear infantry, and sword infantry.",Weak vs. sword cavalry and field weapons.,Gunpowder Age,Franks,Barracks,Gun Infantry,"{'HP': '345', 'Attack': '17', 'Speed': '13', 'Range': '4'}",None,None,"{'Food': '55', 'Gold': '45'}",1
G.I.,"The term ""G.I."" originally meant galvanized iron but in World War I, it was used to describe any ""Government Issued"" items and finally ""General Infantry."" This is a general term to describe any American infantry. During World War II, most American infantry would normally carry a M1 Carbine, M1 Garand, a Browning Automatic Rifle, or a Thompson submachine gun. Weapons of a G.I. would vary depending on specific role, terrain, and climate. But all the noted weapons are either semi or fully automatic, giving the G.I. an advantage over your average army of the time.",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War II,United States,Barracks,Gun infantry,"{'HP': '640', 'Attack': '27', 'Speed': '13', 'Power': '100', 'Range': '5'}",None,['Charge!'],"{'Food': '65', 'Gold': '55'}",1
Gatling_Gun_(Empires),"Korea and the United States signed a formal treaty of friendship in 1882. Exchanges between the two countries followed, and modern weapons, such as the Gatling gun, were brought to Korea in an effort to modernize her military.[1]",Good against gun and spear infantry.,Weak vs. sword cavalry.,Imperial Age,Korea,Siege Factory,Field Weapon,"{'HP': '700', 'Attack': '100', 'Speed': '10', 'Range': '5'}",Armory,None,"{'Wood': '180', 'Gold': '220'}",2
Gato_Class_Sub,"Korea and the United States signed a formal treaty of friendship in 1882. Exchanges between the two countries followed, and modern weapons, such as the Gatling gun, were brought to Korea in an effort to modernize her military.[1]",Good against gun and spear infantry.,Weak vs. sword cavalry.,Imperial Age,Korea,Siege Factory,Field Weapon,"{'HP': '700', 'Attack': '100', 'Speed': '10', 'Range': '5'}",Armory,None,"{'Wood': '180', 'Gold': '220'}",2
Grenadier_(Empires),The Grenadier is a Frankish gun infantry unit . It is upgraded from the Fusilier for 35 Gold .,"Good vs. gun cavalry, spear infantry, and sword infantry.",Weak vs. sword cavalry and field weapons.,Imperial Age,Franks,Barracks,Gun Infantry,"{'HP': '410', 'Attack': '20', 'Speed': '13', 'Range': '4'}",None,None,"{'Food': '55', 'Gold': '45'}",1
Handly_Page_Bomber,The Handly Page Bomber is a World War I bomber plane of the United Kingdom .,Good vs. land units.,Weak vs. anti-air units and Fighters.,World War I,United Kingdom,Airport,Bomber,"{'HP': '690', 'Attack': '180', 'Area Effect': '20', 'Speed': '22', 'Flight time': '90'}",None,"['Detects', 'stealthy', 'unitsCollapses', 'mines']","{'Wood': '230', 'Gold': '300'}",1
Heavy_Artillery,The Heavy Artillery is a Russian World War I field weapon .,Good vs. buildings and infantry.,Weak vs. tanks and anti-tank units.,World War I,Russia,Siege Factory,Field Weapon,"{'HP': '400', 'Attack': '90', 'Area Effect': '16', 'Speed': '9', 'Range': '10'}",None,None,"{'Wood': '175', 'Gold': '225'}",2
Hellcat,"As the cornerstone of a seagoing air force, the Hellcat is an aircraft that Empire players will come to love, or fear, depending on which side they are playing. Capable of striking land, air, and naval targets with equal ease, and launching from mobile and hard to catch carrier forces, the F6F can change the course of a game, just as it helped the USN change the course of the Pacific war against Japan.[1]",Good vs. bombers and land units.,Weak vs. anti-air units and gun infantry.,World War II,United States,USS Enterprise,Naval fighter,"{'HP': '625', 'Attack': '24', 'Speed': '24', 'Flight time': '125', 'Range': '8'}",None,None,"{'Food': '100', 'Gold': '100'}",1
Higgins_Boat,The Higgins Boat is a American World War I transport ship .,Can transport land units across water.,Cannot attack.,World War I,United States,Dock,Transport,"{'HP': '1,200', 'Transport capacity': '14', 'Speed': '11'}",None,None,"{'Wood': '125', 'Gold': '65'}",1
Highlander,"Only the clan leaders - the ""knights"" of Scotland's patchwork social structure -- could afford a Claymore, a helmet, and a coat of mail, and they spent more time squabbling amongst themselves than they did working to turn Scotland into a unified nation. But when the English tried to conquer the Highlands, they stood united. And there were many such men who brought to the battlefield some measure of Wallace's integrity, courage, and charisma; under such commanders, even an army of half-starved peasants could fight like lions.[1]",Good vs. sword and spear infantry.,Weak vs. archers.,Medieval,England,Barracks,Heavy Infantry,"{'HP': '350', 'Attack': '40', 'Speed': '13', 'Power': '100'}",Armory,None,"{'Food': '110', 'Gold': '65'}",1
HMS_Dreadnought,"The Dreadnought brought a new era in battleship design demanding bigger, better, and more guns. The Dreadnought was so influential that all previous battleships were named Pre-Dreadnoughts. The Dreadnought was actually the product of a naval race which happened before WWI leading to the expansion of many of the world's battleships.[1]","Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. Submarines and siege weapons.,World War I,United Kingdom,Dock,Battleship,"{'HP': '6,050', 'Attack': '240', 'Area Effect': '10', 'Speed': '13', 'Range': '7'}",None,None,"{'Wood': '110', 'Gold': '220'}",2
HMS_King_George_V,"One battleship can be designated to be the Flagship, which means it can fire Incendiary Shells.","Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. submarines and siege weapons.,World War II,United Kingdom,Dock,Battleship,"{'HP': '7,255', 'Attack': '290', 'Area Effect': '10', 'Speed': '13', 'Range': '7'}",None,None,"{'Wood': '110', 'Gold': '220'}",2
Hussar_(Empires),"In the Napoleonic Wars, General LaSalle, perhaps the greatest cavalry commander of the war, commanded the 5th and 7th Hussars, called the ""Brigade Infernale"". In 1806, LaSalle and 900 Hussars captured a fortress and some 6,000 Prussians without firing a shot.[1]",Good vs. gun infantry.,Weak vs. gun cavalry and spear infantry.,Gunpowder Age,Franks,Stable,Sword cavalry,"{'HP': '940', 'Attack': '42', 'Arrow': '1', 'Gun': '5', 'Speed': '18'}",Armory,None,"{'Food': '105', 'Gold': '125'}",3
Ilya_Mourmetts_Bomber,The Ilya Mourmetts Bomber is a Russian World War I bomber .,Good vs. anti-tank units and infantry.,Weak vs. anti-air units and Fighters.,World War I,Russia,Airport,Bomber,"{'HP': '625', 'Attack': '130', 'Area Effect': '25', 'Speed': '25', 'Flight time': '90'}",None,"['Detects', 'stealthy', 'units']","{'Wood': '190', 'Gold': '250'}",1
Infanterie,"The Infanterie is the French gun infantry of World War II , upgraded from the Poilu for 35 Gold  and trained at the Barracks.",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War II,France,Barracks,Gun infantry,"{'HP': '600', 'Attack': '30', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '55', 'Gold': '45'}",1
K-class_Sub,The K-class Sub is a World War I submarine of the United Kingdom . It is a stealthy unit that can detect other stealthy units.,Good vs. Battleships and transports.,Weak vs. Fighters and Towers.,World War I,United Kingdom,Dock,Submarine,"{'HP': '2,250', 'Attack': '495', 'Speed': '14', 'Range': '6'}",None,None,"{'Wood': '125', 'Gold': '175'}",2
Katyusha_BM-13,"Katyusha rocket launcher's were mounted on Zis-6 trucks, and later on Studebakers sent from the US. With good speed and terrifying firepower, this mobile rocket launcher was much feared by the German infantry.[1]",Good vs. groups of units.,Weak vs. tanks.,World War II,Russia,Siege Factory,Field Weapon,"{'HP': '875', 'Attack': '250', 'Area Effect': '15', 'Speed': '11', 'Power': '100', 'Range': '8'}",Armory,None,"{'Food': '225', 'Gold': '275'}",1
Knight_(Empires),"The Knight is the English spear cavalry of the Medieval Age , trained from the Stable.",Strong vs. sword units.,Weak vs. archers.,Medieval Age,England,Stable,Spear Cavalry,"{'HP': '595', 'Attack': '26', 'Shock': '4', 'Speed': '18'}",None,None,"{'Food': '65', 'Gold': '85'}",2
Koryo_Battleship,"The Koryo Battleship is the Korean battleship of the Medieval Age . It can transport unit, and can later be upgraded to the Turtle Boat in the Gunpowder Age.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Medieval,Korea,Dock,Battleship,"{'HP': '4,500', 'Attack': '140', 'Transport capacity': '14', 'Speed': '11', 'Range': '6'}",None,None,"{'Wood': '220', 'Gold': '280'}",2
Koryo_Hwarang,"The Hwarang were young men of the aristocracy, well educated and trained in martial arts to become elite warrior.[1]",Good vs. melee units.,Weak vs. ranged units.,Medieval Age,Korea,Barracks,Heavy infantry,"{'HP': '825', 'Attack': '40', 'Speed': '13', 'Power': '100'}",Armory,None,"{'Food': '125', 'Gold': '150'}",1
Koryo_Spearman,"The Koryo Spearman is the Korean spear infantry of the Medieval Age , available to be trained at the Barracks. Its attack can stun cavalry. Like other Korean infantry, it can also use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. sword units.,Weak vs. archers.,Medieval Age,Korea,Barracks,Spear infantry,"{'HP': '500', 'Attack': '26', 'Pierce': '7', 'Shock': '5', 'Speed': '13', 'Power': '100'}",None,None,"{'Food': '90', 'Gold': '50'}",1
KV-8_Flame_Tank,"During this time, versions of the T-26 light tank (OT-26, OT-130 and OT-133) were used as flamethrower tanks. However they were too weak and too light. The experience of the Winter War showed that flame tanks became the first targets for any anti-tank defense. That's why more powerful and better protected tanks were needed.[2]",Good vs. infantry.,Weak vs. anti-tank units and tanks.,World War II,Russia,Barracks,Tank,"{'HP': '1,800', 'Attack': '35', 'Area Effect': '10', 'Speed': '14', 'Range': '2'}",Armory,None,"{'Food': '170', 'Gold': '210'}",2
K%C3%B6nig_Battleship,"The König Battleship is the German battleship of World War I, built at the Dock . It can later be upgraded to the Bismarck in World War II.","Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. Submarines and siege weapons.,World War I,Germany,Dock,Battleship,"{'HP': '6,735', 'Attack': '255', 'Area Effect': '10', 'Speed': '13', 'Range': '7'}",Armory,None,"{'Wood': '285', 'Gold': '315'}",2
La_Couronne,La Couronne is the Frankish battleship of the Gunpowder Age . It is upgraded from the Cog Warship for 80 Gold  and is built at the Dock.,Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Gunpowder Age,Franks,Dock,Battleship,"{'HP': '2,250', 'Attack': '125', 'Area Effect': '10', 'Speed': '15', 'Range': '6'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Lancaster_Bomber,The Lancaster Bomber is a World War II bomber plane of the United Kingdom . It is upgraded from the Handly Page Bomber for 165 Gold .,Good vs. land units.,Weak vs. anti-air units and Fighters.,World War II,United Kingdom,Airport,Bomber,"{'HP': '825', 'Attack': '215', 'Area Effect': '22', 'Speed': '22', 'Flight time': '110'}",None,"['Detects', 'stealthy', 'unitsCollapses', 'mines']","{'Wood': '230', 'Gold': '300'}",1
Lancer_(Empires),"The Lancer is the English sword cavalry of the Imperial Age , trained from the Stable. It is upgraded from the Cavalier for 65 Gold .",Strong vs. gun infantry.,Weak vs. gun cavalry and spear infantry.,Imperial Age,England,Stable,Sword Cavalry,"{'HP': '1,215', 'Attack': '36', 'Arrow': '1', 'Gun': '7', 'Speed': '18'}",None,None,"{'Food': '85', 'Gold': '105'}",2
Lancier,"The Lancier is a Frankish Sword Cavalry from the Imperial Age , available to upgraded from the Hussar for 75 Gold  and trained at the Stable.",Good vs. gun infantry.,Weak vs. spear infantry and gun cavalry.,Imperial Age,Franks,Stable,Sword Cavalry,"{'HP': '1,125', 'Attack': '50', 'Arrow': '1', 'Gun': '7', 'Speed': '18'}",None,None,"{'Food': '105', 'Gold': '125'}",3
Leo_451_Bomber,The Leo 451 Bomber is a French World War II bomber aircraft . It is upgraded from the Voisin V Bomber for 140 Gold .,Good vs. anti-tank units and infantry.,Weak vs. anti-air units and Fighters.,World War II,France,Airport,Bomber,"{'HP': '975', 'Attack': '175', 'Area Effect': '17', 'Speed': '22', 'Flight time': '135'}",None,None,"{'Wood': '200', 'Gold': '260'}",1
Longbowman,The Leo 451 Bomber is a French World War II bomber aircraft . It is upgraded from the Voisin V Bomber for 140 Gold .,Good vs. anti-tank units and infantry.,Weak vs. anti-air units and Fighters.,World War II,France,Airport,Bomber,"{'HP': '975', 'Attack': '175', 'Area Effect': '17', 'Speed': '22', 'Flight time': '135'}",None,None,"{'Wood': '200', 'Gold': '260'}",1
Longswordsman,"Such defensive prowess had a price, of course. While advancing with shields raised, the Longswordman were vulnerable to enemy melee attack, and his slower speed put him at particular risk from the enemy's cavalry. While rarely the unit of choice for sweeping maneuvers, the medieval Longswordman could drive stolidly into an adversary, presenting a potent melding of offensive and defensive strengths. Moving forward with the inexorable weight of England's expectations, these knights without horses made a very profitable trade of speed for protection , and laid the groundwork for converting an island to an Empire.[1]",Good vs. archers.,Weak vs. spear units.,Medieval Age,England,Barracks,None,"{'HP': '500', 'Attack': '20', 'Arrow': '3', 'Speed': '15'}",None,None,"{'Food': '80', 'Gold': '40'}",1
Lorraine_Battleship,The Lorraine Battleship is a French World War II battleship . It is upgraded from the Courbet Battleship for 95 Gold .,"Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. submarines and siege weapons.,World War II,France,Dock,Battleship,"{'HP': '3,890', 'Attack': '180', 'Area Effect': '10', 'Speed': '18', 'Range': '7'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Louis_Royale,"The Louis Royale is the Frankish Battleship of the Imperial Age , available to be upgraded from the La Couronne battleship for 80 Gold . It is built at the Dock.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Imperial Age,Franks,Dock,Battleship,"{'HP': '2,700', 'Attack': '150', 'Area Effect': '10', 'Speed': '15', 'Range': '6'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Man-At-Arms_(Empires),"The Man-At-Arms is the Frankish Sword Infantry of the Medieval Age , trained at the Barracks.",Good vs. archers.,Weak vs. spear units.,Medieval Age,Franks,Barracks,Sword Infantry,"{'HP': '350', 'Attack': '14', 'Arrow': '3', 'Speed': '13'}",None,None,"{'Food': '50', 'Gold': '30'}",1
Manchu_Spearman,"The Manchu Spearman is the Chinese spear infantry unit of the Imperial Age . It is upgraded from the Ming Spearman for 30 Gold , and can be trained at the War Camp.",Good vs. sword infantry and cavalry.,Weak vs. gun infantry and cavalry.,Imperial Age,China,War Camp,Spear infantry,"{'HP': '540', 'Attack': '25', 'Shock': '2', 'Speed': '13'}",None,None,"{'Food': '50', 'Gold': '30'}",1
Mark_V_Tank,"Tanks were developed to overcome the trench warfare of WWI, a concept championed by First Lord of the Admiralty, Winston Churchill. The word ""tank"" comes from a ruse; parts for the vehicles were packed in crates labelled “tanks” to disguise their true purpose.[1]",Good vs. infantry.,Weak vs. anti-tank units.,World War I,United Kingdom,War Camp,Tank,"{'HP': '2,375', 'Attack': '110', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '170', 'Gold': '210'}",2
Matchlock_Infantry,"The Matchlock Infantry is the Korean gun infantry of the Gunpowder Age , available to be trained at the Barracks. Like other Korean infantry, it can use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. spear infantry and gun cavalry.,Weak vs. sword cavalry.,Gunpowder Age,Korea,Barracks,Gun infantry,"{'HP': '470', 'Attack': '25', 'Speed': '13', 'Power': '100', 'Range': '4'}",None,None,"{'Food': '90', 'Gold': '80'}",1
Medic_(Empires),An integrated British medical corps was founded in 1898 and given the name Royal Army Medical Corps. Members of the Corps have received numerous decorations for valour.[1],Can heal friendly troops and revive mortally wounded troops.,Cannot attack.,World War I,United Kingdom,Barracks,None,"{'HP': '500', 'Speed': '13', 'Power': '100'}",None,None,"{'Food': '110', 'Gold': '85'}",1
MG42_Team,"The MG42 Team is a German World War II gun infantry unit , available at the Barracks.",Good vs. infantry.,Weak vs. tanks and field weapons.,World War II,Germany,Barracks,Gun infantry,"{'HP': '1,000', 'Attack': '90', 'Speed': '13', 'Range': '6'}",Armory,None,"{'Food': '165', 'Gold': '135'}",1
Ming_Cavalry,The Ming Cavalry is a Chinese sword cavalry unit .,Good vs. gun infantry.,Weak vs. gun cavalry and spear infantry.,Gunpowder Age,China,Barracks,None,"{'HP': '650', 'Attack': '25', 'Arrow': '1', 'Gun': '5', 'Speed': '18'}",None,None,"{'Food': '65', 'Gold': '75'}",1
