UNIT,SUMMARY,STRENGTHS,WEAKNESSES,ERA,NATION,BUILDING,TYPE,STATS,BUILDING REQUIRED,ABILITIES,COST,POP COUNT
Ming_Spearman,"The Ming Spearman is the Chinese spear infantry unit of the Gunpowder Age . It is upgraded from the Song Spearman for 20 Gold , and can be trained at the War Camp.",Good vs. sword infantry and cavalry.,Weak vs. gun units and cavalry archers.,Gunpowder Age,China,War Camp,Spear infantry,"{'HP': '450', 'Attack': '21', 'Shock': '2', 'Speed': '13'}",None,None,"{'Food': '45', 'Gold': '35'}",1
Mongol_Horseman,"The Mongols poured out of the north and ultimately took over China, creating the Yuan Dynasty in the 13th Century. Mongol horsemen were exceptional archers, with bows effective to a range of 300 yards.[1]",Good vs. spear infantry and cavalry.,"Weak vs. foot archers, sword infantry, and sword cavalry.",Medieval Age,China,War Camp,None,"{'HP': '475', 'Attack': '14', 'Pierce': '3', 'Speed': '16', 'Range': '5'}",None,None,"{'Food': '65', 'Wood': '55'}",2
Monk_(Empires),"The Monk is a Korean priest . It can convert enemy units (which costs 125 power, hotkey C) and detect stealthy enemies. It can also cast Bad Karma, which contaminates a group of enemies, decreasing hit points over time (200 power, hotkey K).","Can convert enemy units, detect stealthy units, and give enemies Bad Karma.",Cannot attack.,Medieval Age,Korea,Temple,Priest,"{'HP': '100', 'Speed': '11', 'Power': '225', 'Range': '6'}",None,None,"{'Food': '140', 'Gold': '160'}",2
Montgolfier_Balloon,"The French used the Montgolfier balloon for military observation and at times even for attack purposes, bringing death from above. In Empires, the Montgolfier Balloon will demoralize enemy troops with awe and fright as it floats over the battlefield.[1]",Can detect stealthy units and drop leaflets to reduce enemy attack.,Cannot attack. Weak vs. gun units.,Imperial Age,Franks,Siege Factory,Support Unit,"{'HP': '625', 'Speed': '18', 'Power': '100'}",Armory,"['Drop', 'Propaganda', 'Leaflets']","{'Food': '60', 'Gold': '90'}",1
Mounted_Flail,"The Mounted Flail is the Korean sword cavalry of the Medieval Age , available at the Stable.",Good vs. archers.,Weak vs. spear units.,Medieval Age,Korea,Stable,Sword cavalry,"{'HP': '925', 'Attack': '28', 'Arrow': '2', 'Gun': '5', 'Speed': '18'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Mounted_Grenadier,The Mounted Grenadier is a Frankish gun cavalry unit . It is upgraded from the Carabineer for 65 Gold .,Good vs. sword cavalry and spear infantry.,Weak vs. gun infantry.,Imperial Age,Franks,Stable,Gun Cavalry,"{'HP': '825', 'Attack': '38', 'Shock': '8', 'Speed': '18', 'Range': '5'}",None,None,"{'Food': '85', 'Gold': '105'}",2
Neuer_Soldat,"Grenadiers were professional infantry troops within the Wehrmacht, and were one of the most heavily armed troops in the world, and thanks to their equipment, they were very versatile, able to adapt to any situation thanks to their training, due to this, there were many different types of Grenadiers, each with different duties.",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War II,Germany,Barracks,Gun infantry,"{'HP': '800', 'Attack': '46', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '80', 'Gold': '70'}",1
Oil_Smithy,"The Oil Smithy is an English field weapon of the Medieval Age , trained from the Siege Factory. It is better against groups than single units. Its Boiling Oil ability engulfs a target location in a river of flaming oil (50 power, hotkey V).",Strong vs. groups of enemies.,Weak vs. any unit.,Medieval Age,England,Siege Factory,Field Weapon,"{'HP': '400', 'Attack': '10', 'Speed': '10', 'Power': '100', 'Range': '10'}",Armory,None,"{'Food': '85', 'Gold': '85'}",2
Ordnance_17_pdr_AT,The Ordnance 17 pdr AT is a World War II anti-tank unit of the United Kingdom . It is upgraded from the Anti-Tank 38mm Gun for 65 Gold .,Good vs. Tanks.,Weak vs. gun infantry.,World War II,United Kingdom,Siege Factory,Anti-tank,"{'HP': '1,200', 'Attack': '54', 'Gun': '4', 'Speed': '13', 'Range': '6'}",None,None,"{'Wood': '110', 'Gold': '90'}",1
P-51_Mustang,"Sleek, powerful, and modern, the P-51 represented the apex of the US Army Air Force's conventional fighter plane development in World War II. Serving into the Korean War, the Mustang became one of the most successful and famous aircraft in history, and for good reason. As is also true in Empires, the P-51 was capable of any task, any where, at any time, and came to dominate the skies wherever it flew.[1]",Good vs. Bombers and land units.,Weak vs. anti-air units.,World War II,United States,Airport,Fighter,"{'HP': '825', 'Attack': '24', 'Speed': '24', 'Flight time': '160', 'Range': '11'}",None,None,"{'Wood': '130', 'Gold': '170'}",1
PE-2_Bomber,The PE-2 Bomber is a Russian World War II bomber . It is upgraded from the Ilya Mourmetts Bomber for 100 Gold .,Good vs. anti-tank units and infantry.,Weak vs. anti-air units and Fighters.,World War II,Russia,Airport,Bomber,"{'HP': '750', 'Attack': '160', 'Area Effect': '27', 'Speed': '25', 'Flight time': '110'}",None,"['Detects', 'stealthy', 'units']","{'Wood': '190', 'Gold': '250'}",1
Peasant_(Empires),"Peasants can garrison in towers, and can also become infantry units. This costs 50 Food ,  75 Gold , hotkey M, and turns the Peasant into a Man-At-Arms or Fusilier.","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,Medieval Age,Franks,Town Center,Citizen,"{'HP': '325', 'Attack': '5', 'Speed': '13', 'Range': '2'}",None,None,{'Food': '50'},1
Pervozvanny_Battleship,It can be upgraded to the Arkhangelsk Battleship in World War II.,"Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. Submarines and siege weapons.,World War I,Russia,Dock,Battleship,"{'HP': '4,320', 'Attack': '180', 'Area Effect': '10', 'Speed': '13', 'Range': '7'}",None,None,"{'Wood': '170', 'Gold': '200'}",2
Poilu,"The Poilu is the basic gun infantry of the French in World War I . The Poliu is the second strongest gun infantry in World War I, behind the German Soldat. Polius also have high HP, and therefore will take more hits before they die.",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War I,France,Barracks,Gun infantry,"{'HP': '500', 'Attack': '25', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '55', 'Gold': '45'}",1
Powder_Keg_Cart,"The Powder Keg Cart is a Korean support unit . It can use Power Keg (100 power, hotkey P) to blow up the enemy's stone and gold mines, which means they have to be cleared before mining can resume. It also restores power to nearby friendly units.",Can collapse mines and restore power to nearby units.,Weak vs. any unit.,Medieval Age,Korea,Siege Factory,Support unit,"{'HP': '125', 'Speed': '11', 'Power': '100'}",None,None,"{'Wood': '90', 'Gold': '110'}",2
Regular_(Empires),The Regular is an English gun infantry unit . It is upgraded from the Arquebusier for 40 Gold .,Good vs. gun cavalry.,Weak vs. sword cavalry and field weapons.,Imperial Age,England,Barracks,Gun Infantry,"{'HP': '570', 'Attack': '23', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '65', 'Gold': '55'}",1
Renault_Tank,"Its Bulldoze ability can inflict heavy damage on an adjacent unit by running over it (100 power, hotkey B).",Good vs. infantry.,Weak vs. anti-tank units.,World War I,France,Tank Factory,Tank,"{'HP': '1,850', 'Attack': '80', 'Gun': '3', 'Speed': '14', 'Power': '100', 'Range': '5'}",None,None,"{'Food': '160', 'Gold': '220'}",2
Revolutionary,"Its Bulldoze ability can inflict heavy damage on an adjacent unit by running over it (100 power, hotkey B).",Good vs. infantry.,Weak vs. anti-tank units.,World War I,France,Tank Factory,Tank,"{'HP': '1,850', 'Attack': '80', 'Gun': '3', 'Speed': '14', 'Power': '100', 'Range': '5'}",None,None,"{'Food': '160', 'Gold': '220'}",2
Ribaud,French cannons in the 14th and 15th centuries were more advanced than their English counterparts. The multi-barrel Ribaud (also know as the ribaudequin) was the machine gun of the 15th century.[1],Good vs. gun infantry and buildings.,Weak vs. sword cavalry and spear infantry.,Gunpowder Age,Franks,Siege Factory,Field Weapon,"{'HP': '550', 'Attack': '30', 'Area Effect': '10', 'Speed': '10', 'Power': '100', 'Range': '6'}",Armory,['Barrage'],"{'Wood': '135', 'Gold': '160'}",2
Rifled_Grenadier,"The Rifled Grenadier is a French World War I heavy infantry unit . It can fire a smokescreen shell that temporarily lowers the Line of Sight and range of enemies within the smokescreen (100 power, hotkey S).",Good vs. tanks and anti-tank units.,Weak vs. gun infantry.,World War I,France,Barracks,Heavy infantry,"{'HP': '400', 'Attack': '125', 'Speed': '13', 'Power': '100', 'Range': '8'}",Armory,None,"{'Food': '150', 'Gold': '120'}",1
Rocket_Cavalry,A Chuhwa was essentially a rocket launcher wielded by a man on horseback. It had tremendous firepower.[1],Good vs. sword cavalry and buildings.,Weak vs. gun infantry.,Gunpowder Age,Korea,Stable,Gun cavalry,"{'HP': '375', 'Attack': '50', 'Shock': '5', 'Speed': '15', 'Power': '100', 'Range': '4'}",None,None,"{'Food': '80', 'Gold': '100'}",2
Saboteur,"It can plant time bombs which explode for massive damage unless destroyed (1,000 Gold , hotkey N), demolish a building or vehicle (75 power, hotkey D), or plant an explosive charge to destroy mineral deposits, requiring them to be cleared before mining can resume (100 power, hotkey E).",Stealthy unit with various useful abilities.,Cannot attack; weak vs. any unit.,World War II,France,Barracks,Support,"{'HP': '700', 'Speed': '13', 'Power': '100'}",Armory,None,"{'Food': '165', 'Gold': '135'}",2
SAS_Operative,"In North Africa, SAS raids destroyed hundreds of German aircraft and disrupted supply lines. SAS operatives also collaborated with the French Résistance, organizing numerous raids to sabotage supply trains,fuel depots and other strategic targets.[1]",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War II,United Kingdom,Barracks,Gun infantry,"{'HP': '600', 'Attack': '80', 'Speed': '14', 'Power': '100', 'Flight time': '110', 'Range': '5'}",Armory,"['Plant', 'bombsSwim']","{'Food': '135', 'Gold': '115'}",1
Sherman_Tank,The Sherman Tank is an American World War II unit . It is upgraded from the FT-17 Light Tank for 120 Gold .,Good vs. infantry.,Weak vs. anti-tank units.,World War II,United States,Tank Factory,Tank,"{'HP': '2,775', 'Attack': '120', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '155', 'Gold': '195'}",2
Siege_Crossbow,"A double-bow crossbow uses a second bow to increase the force imparted to the projectile. After the Chinese invented gunpowder, they created incendiary projectiles that exploded against the target.[1]",Good vs. ground units.,Weak vs. groups of units.,Gunpowder Age,China,Tank Factory,Field weapon,"{'HP': '350', 'Attack': '800', 'Speed': '11', 'Range': '7'}",None,None,"{'Wood': '400', 'Gold': '500'}",2
Sniper_(Empires),The Sniper is a Russian gun infantry unit of World War I . It can kill infantry and cavalry units in one shot.,"Good vs. infantry, Scouts, and Citizens.",Weak vs. tanks and anti-tank units.,World War I,Russia,Tank Factory,Gun Infantry,"{'HP': '250', 'Attack': '80', 'Speed': '14', 'Range': '7'}",Armory,None,"{'Food': '160', 'Gold': '100'}",1
Soldat,"The Soldats is a German World War I gun infantry unit . Well-equipped and disciplined, they are more than capable of engaging on other infantry and light vehicles. Soldats can be upgraded into Neuer Soldats once the player reaches World War II.",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War I,Germany,Barracks,Gun infantry,"{'HP': '675', 'Attack': '38', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '85', 'Gold': '75'}",None
Song_Guardsman,The Song Guardsman is the basic sword infantry of China in the Medieval Age . ,Effective in groups against archers,Countered by spear infantry and cavalry.,Medieval Age,China,War Camp,Sword infantry,"{'HP': '265', 'Attack': '20', 'Arrow': '5', 'Speed': '13'}",None,None,"{'Food': '60', 'Gold': '30'}",1
Song_Spearman,The Song Spearman is the Chinese spear infantry of the Medieval Age . It can be trained at the War Camp.,Good vs. sword infantry and cavalry.,Weak vs. archers.,Medieval Age,China,War Camp,Spear infantry,"{'HP': '350', 'Attack': '18', 'Pierce': '7', 'Shock': '5', 'Speed': '13'}",None,None,"{'Food': '50', 'Gold': '30'}",1
Sopwith_Camel,"Sopwith Camels had more kills than any other Allied plane during World War I. Like many of the planes during World War I, the Camel was a biplane with two machine guns placed at the front, which would become standard on all planes in later years. Although the Sopwith Camel performed extremely well, it also killed quite a few of its inexperienced pilots. It is also credited with shooting down the infamous Red Baron.[1]",Good vs. Bombers and land units.,Weak vs. anti-air units.,World War I,United Kingdom,Airport,Fighter,"{'HP': '740', 'Attack': '22', 'Speed': '24', 'Flight time': '100', 'Range': '7'}",None,"['Detects', 'stealthy', 'units']","{'Wood': '125', 'Gold': '165'}",1
Spad_XIII_Fighter,The crews of all French aircraft repair damage and try to parachute to safety if the plane is shot down.[1],Good vs. Bombers and land units. Can detect stealthy units.,Weak vs. anti-air units.,World War I,France,Airport,Fighter,"{'HP': '420', 'Attack': '25', 'Speed': '24', 'Flight time': '125', 'Range': '7'}",None,None,"{'Wood': '130', 'Gold': '170'}",1
Spitfire,"There were some 40 different variants of the Spitfire produced throughout the war and soon after. They served in every combat area, operating as fighters, fighter-bombers, reconnaissance aircraft and carrier-based fighters with the Royal Navy. The Spitfire sported 4 x .303 MG's and 2 x 20mm wing mounted cannons, and could support an external bomb load of one 226 kg or two 113 kg.[2]",Good vs. Bombers and land units.,Weak vs. anti-air units.,World War II,United Kingdom,Airport,Fighter,"{'HP': '890', 'Attack': '26', 'Speed': '24', 'Flight time': '120', 'Range': '8'}",None,"['Detects', 'stealthy', 'units']","{'Wood': '125', 'Gold': '165'}",1
SU-57_AT_Halftrack,The SU-57 AT Halftrack is a Russian World War II anti-tank unit .,Good vs. tanks.,Weak vs. gun infantry.,World War II,Russia,Siege Factory,Anti-Tank,"{'HP': '1,250', 'Attack': '38', 'Gun': '4', 'Speed': '13', 'Range': '6'}",Armory,None,"{'Wood': '100', 'Gold': '80'}",1
Subject,"Subjects do not construct buildings like other Citizens; instead, they only initiate construction, and the Mason's Guild automatically finishes construction.","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,Medieval Age,England,Town Center,Citizen,"{'HP': '400', 'Attack': '10', 'Speed': '11', 'Range': '2'}",None,None,{'Food': '50'},1
Surcouf_Sub,The Surcouf Sub is a French World War I submarine .,Good vs. Battleships and Transports.,Weak vs. Fighters and towers.,World War I,France,Dock,Submarine,"{'HP': '1,530', 'Attack': '330', 'Speed': '17', 'Range': '6'}",None,None,"{'Wood': '140', 'Gold': '160'}",2
Surveillance_Van,The Surcouf Sub is a French World War I submarine .,Good vs. Battleships and Transports.,Weak vs. Fighters and towers.,World War I,France,Dock,Submarine,"{'HP': '1,530', 'Attack': '330', 'Speed': '17', 'Range': '6'}",None,None,"{'Wood': '140', 'Gold': '160'}",2
T34_Tank,"Runstedt called the T-34 the ""best tank in the world"" and von Kleist said it was the ""finest in the world."" The T-34 had a more powerful cannon than German tanks, a higher top speed (32 MPH versus 25 MPH), and superior sloped armor and superior welded construction. However, the German Tiger and Panther tanks outranged the T-34's original 76 mm gun, and subsequently a 85 mm gun was mounted on a T-34 tank.[1]",Good vs. infantry.,Weak vs. anti-tank units.,World War II,Russia,Tank Factory,Tank,"{'HP': '3,250', 'Attack': '200', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '235', 'Gold': '285'}",2
Thunder_Boat,"The Song were perhaps first to employ a gunpowder weapon at sea. Sailors loaded a simple wooden boat with black powder, guided it toward an enemy vessel, then jumped off as it rammed the enemy and explode.[1]",Good vs. Fishing Boats and Transports.,Weak vs. Battleships and siege weapons.,Gunpowder Age,China,Dock,None,"{'HP': '400', 'Attack': '2,000', 'Area Effect': '14', 'Speed': '11'}",None,None,"{'Wood': '100', 'Gold': '80'}",2
Thunder_Crash_Mortar,The Thunder Crash Mortar is a Korean siege weapon . It can use Cannonade to increase its range at the cost of accuracy and movement.,Good vs. buildings and gun infantry.,Weak vs. sword cavalry.,Gunpowder Age,Korea,Siege Factory,Siege weapon,"{'HP': '625', 'Attack': '100', 'Gun': '0'}",None,None,"{'Wood': '175', 'Gold': '225'}",2
Tibetan_Cavalry,"The Tibetan Cavalry is the Chinese sword cavalry unit of the Imperial Age . It is upgraded from the Ming Cavalry for 50 Gold , and can be trained at the War Camp.",Good vs. gun infantry.,Weak vs. gun cavalry and spear infantry.,Imperial Age,China,War Camp,Sword cavalry,"{'HP': '260', 'Attack': '30', 'Gun': '7', 'Speed': '18'}",None,None,"{'Food': '65', 'Gold': '75'}",1
Tommy,"The Tommy is the standard infantry unit of the British Army in World War I and World War II . The Tommy is a decent infantry unit that can overcome any infantry but German Soldats. It has no upgrade in WW2, but can still pack a punch in sheer numbers, given their cost.",Good vs. anti-tank units.,Weak vs. Tanks and field weapons.,World War I,United Kingdom,Barracks,Gun Infantry,"{'HP': '690', 'Attack': '28', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '70', 'Gold': '60'}",1
Trebuchet_(Empires),"Prince Louis of France brought the trebuchet to England in the early 13th Century. Trebuchets were the ultimate siege weapons of their day, launching 300 pound stones and even decaying animals a great  distance. Legend says the 14th Century outbreak of the Black Death began at the Siege of Caffe, when attackers lobbed plague-ridden corpse into the town.[1]",Good vs. buildings.,Weak vs. spear and sword cavalry.,Medieval Age,England,Siege Factory,Siege Weapon,"{'HP': '600', 'Attack': '90', 'Arrow': '7', 'Speed': '11', 'Power': '100', 'Range': '7'}",None,"['Black', 'Death']","{'Wood': '250', 'Gold': '300'}",2
Turtle_Boat_(Empires),"The turtle ship was the creation of Admiral Yi Sun-sin. The deck of the ship has a metal curved cover giving a turtle look with hundreds of swords penetrating the metal, making it impossible for any man to stand on. Cannons cover the side of the ship as well. This odd battleship was used against a Japanese invasion in 100 to 1 odds with the Koreans victorious.[1]",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Gunpowder Age,Korea,Dock,Battleship,"{'HP': '5,130', 'Attack': '150', 'Transport capacity': '14', 'Speed': '11', 'Power': '100', 'Range': '6'}",None,None,"{'Wood': '270', 'Gold': '330'}",2
Twin-Sword_Cavalryman,Weak vs. spear infantry and gun cavalry.,Good vs. gun infantry.,None,Gunpowder Age,Korea,Stable,Sword cavalry,"{'HP': '1,100', 'Attack': '90', 'Arrow': '3', 'Gun': '3', 'Speed': '20'}",Armory,None,"{'Food': '100', 'Gold': '200'}",2
Twin-Swordsman,"The Twin-Swordsman is the Korean sword infantry from the Medieval Age , available to be trained at the Barracks. Like other Korean infantry, it can use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M).",Good vs. archers.,Weak vs. spear units.,Medieval Age,Korea,Barracks,Sword infantry,"{'HP': '550', 'Attack': '27', 'Arrow': '3', 'Speed': '13', 'Power': '100'}",None,None,"{'Food': '90', 'Gold': '80'}",1
U-Boat_(Empires),"German submarines or “U-boats” took a heavy toll on Allied shipping in both World War I and World War II. A number of designs were put into production to fill various roles. The Type VIIB U-boat was a very successful attack-sub during World War II. The VIIB carried more fuel and was a bit faster than its predecessor, the Type VIIA, and also had a second rudder for better manoeuvrability. Like the VIIA, the VIIB was armed with four torpedo tubes in the bow and one aft, but it carried three additional torpedoes for a total of 14. Twenty-four VIIB U-boats were built from 1936 to 1940, when the slightly larger VIIC went into production. U-48, the most successful U-boat of the war, was a Type VIIB. Commissioned in April 1939, she sank 52 ships and damaged 4 more for total loss of more than 300,000 tons of shipping. U-48 was scuttled in May 1945, as part of Operation Regenbogen to keep the German fleet from falling into the hands of the Allies at the end of the war.[1]",Good vs. Battleships and Transports.,Weak vs. Fighters and towers.,World War I,Germany,Barracks,Submarine,"{'HP': '1,800', 'Attack': '535', 'Speed': '14', 'Power': '100', 'Range': '6'}",None,"['Torpedo', 'Run']","{'Wood': '120', 'Gold': '255'}",2
USS_Arkansas,"In Empires, USS Arkansas gives the American player a strong advantage at sea. In addition to being a powerful naval unit in its own right, fully capable of standing up to enemy battleships in head to head combat, she also serves as the center of a strong anti-submarine force. Representing the core of a hunter-killer task force, USS Arkansas has the technological capability to use sonar to detect enemy submarines. Once detected, these stealthy vessels can then be engaged and destroyed, and the seas made safe for American warships and transports. Just as the historical ship served in two world wars and engaged in a variety of combat activities, in Empires USS Arkansas is a flexible and powerful unit that epitomizes the US Navy's tradition of innovation, enterprise, and valor at sea.[1]",Strong vs. Fighters.,Weak vs. Submarines and siege weapons.,World War I,United States,Barracks,Battleship,"{'HP': '6,600', 'Attack': '270', 'Area Effect': '10', 'Speed': '13', 'Power': '100', 'Range': '7'}",None,['Sonar'],"{'Wood': '275', 'Gold': '350'}",2
USS_Enterprise,"In Empires, USS Arkansas gives the American player a strong advantage at sea. In addition to being a powerful naval unit in its own right, fully capable of standing up to enemy battleships in head to head combat, she also serves as the center of a strong anti-submarine force. Representing the core of a hunter-killer task force, USS Arkansas has the technological capability to use sonar to detect enemy submarines. Once detected, these stealthy vessels can then be engaged and destroyed, and the seas made safe for American warships and transports. Just as the historical ship served in two world wars and engaged in a variety of combat activities, in Empires USS Arkansas is a flexible and powerful unit that epitomizes the US Navy's tradition of innovation, enterprise, and valor at sea.[1]",Strong vs. Fighters.,Weak vs. Submarines and siege weapons.,World War I,United States,Barracks,Battleship,"{'HP': '6,600', 'Attack': '270', 'Area Effect': '10', 'Speed': '13', 'Power': '100', 'Range': '7'}",None,['Sonar'],"{'Wood': '275', 'Gold': '350'}",2
Vicar,"In Empires, USS Arkansas gives the American player a strong advantage at sea. In addition to being a powerful naval unit in its own right, fully capable of standing up to enemy battleships in head to head combat, she also serves as the center of a strong anti-submarine force. Representing the core of a hunter-killer task force, USS Arkansas has the technological capability to use sonar to detect enemy submarines. Once detected, these stealthy vessels can then be engaged and destroyed, and the seas made safe for American warships and transports. Just as the historical ship served in two world wars and engaged in a variety of combat activities, in Empires USS Arkansas is a flexible and powerful unit that epitomizes the US Navy's tradition of innovation, enterprise, and valor at sea.[1]",Strong vs. Fighters.,Weak vs. Submarines and siege weapons.,World War I,United States,Barracks,Battleship,"{'HP': '6,600', 'Attack': '270', 'Area Effect': '10', 'Speed': '13', 'Power': '100', 'Range': '7'}",None,['Sonar'],"{'Wood': '275', 'Gold': '350'}",2
Victory,"One battleship can be designated to be the Flagship, which can fire heated shots.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other battleships.,Imperial Age,Franks,Dock,Battleship,"{'HP': '5,040', 'Attack': '200', 'Area Effect': '10', 'Speed': '11', 'Range': '6'}",None,None,"{'Wood': '110', 'Gold': '220'}",2
Voisin_V_Bomber,The Voisin V Bomber is a French World War I bomber aircraft .,Good vs. anti-tank units and infantry.,Weak vs. anti-air units and Fighters.,World War I,France,Airport,Bomber,"{'HP': '815', 'Attack': '145', 'Area Effect': '15', 'Speed': '22', 'Flight time': '110'}",None,None,"{'Wood': '200', 'Gold': '260'}",1
War_Cog,"The War Cog is the English battleship of the Medieval Age , built at the Dock. One battleship can be designated to be the Flagship, which can fire heated shots.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other battleships.,Medieval Age,England,Dock,Battleship,"{'HP': '3,500', 'Attack': '140', 'Area Effect': '10', 'Speed': '11', 'Range': '6'}",None,None,"{'Wood': '110', 'Gold': '220'}",2
War_Junk,The War Junk is the Chinese battleship of the Imperial Age . It is available to be upgraded from Foochow Battleship for 50 Gold  and can be built from the Dock.,Good vs. Fishing Boats and Transports.,Weak vs. other battleships and siege weapons.,Imperial Age,China,Dock,Battleship,"{'HP': '2,000', 'Attack': '97', 'Transport capacity': '14', 'Speed': '11', 'Range': '8'}",None,None,"{'Wood': '100', 'Gold': '120'}",2
War_Kite,"By creating what is, in effect, the world's first ""air force"", you're sending a powerful message to friend and foe alike.[1]",Good against all melee units. Detects stealthy units.,"Countered by gun infantry, gun cavalry, and towers.",Gunpowder Age,China,Dock,None,"{'HP': '400', 'Attack': '30', 'Speed': '22', 'Range': '4'}",None,None,"{'Wood': '150', 'Gold': '100'}",1
Yak-1_Fighter,The Yak-1 Fighter is a Russian World War II fighter plane . It is upgraded from the Anatra-DS Fighter for 85 Gold .,Good vs. Bombers and land units.,Weak vs. anti-air units.,World War II,Russia,Airport,Fighter,"{'HP': '750', 'Attack': '19', 'Speed': '24', 'Flight time': '150', 'Range': '8'}",None,"['Detects', 'stealthy', 'units']","{'Wood': '120', 'Gold': '160'}",1
Zeppelin,"Since they derive their ""lift"" from extremely flammable hydrogen gas, Zeppelins are quite vulnerable to AA bursts or tracer-bullet hits from enemy fighters. All told, the German Airship Service mounted a total of 139 raids over Britain, killing 537 people and causing almost eight million dollars' in property damage.[1]",None,None,World War I,Germany,Airport,Bomber,"{'HP': '815', 'Attack': '90', 'Speed': '18', 'Range': '4'}",None,None,"{'Wood': '200', 'Gold': '270'}",None
